Altium Designer Pick and Place Locations
C:\Users\Barne\Documents\BarneyDocs\AltiumProjects\Custom_ESC\WizESC_PCB\Project Outputs for WizESC_PCB\Pick Place for ESC_PCB.csv

========================================================================================================================
File Design Information:

Date:       21/07/26
Time:       12:29
Revision:   829bdfaa98009c4bf68e2e55ab15b8f1b8c72a6a
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R20","10k","BottomLayer","RES_0402","1495.000","805.000","270","Resistor SMD 0402"
"R19","10k","BottomLayer","RES_0402","1398.000","852.000","180","Resistor SMD 0402"
"C26","100nF","BottomLayer","CAP_0402","1461.000","708.000","90","Capacitor SMD 0402"
"Y1","X32258MOB4SI","TopLayer","X32258MOB4SI","994.043","840.000","180","Crystal or Oscillator"
"U1","AP63203WU-7","TopLayer","FP-TSOT26-MFG","669.000","534.998","90","IC REG BUCK 3.3V 2A TSOT26"
"S1","C4B1802110","TopLayer","SW-SMD_4P-L3.5-W3.0-P1.50-LS4.7","1038.000","1045.000","0","SMD NO Push Button Switch"
"R18","18k","BottomLayer","RES_0603","1272.527","287.000","0","Resistor SMD 0603"
"R17","18k","BottomLayer","RES_0603","1272.527","212.000","0","Resistor SMD 0603"
"R16","18k","BottomLayer","RES_0603","1271.527","362.000","0","Resistor SMD 0603"
"R15","10k","BottomLayer","RES_0603","1342.000","714.000","180","Resistor SMD 0603"
"R14","100k","BottomLayer","RES_0603","1374.000","782.000","0","Resistor SMD 0603"
"R13","100k","BottomLayer","RES_0603","1595.000","168.000","0","Resistor SMD 0603"
"R12","100k","BottomLayer","RES_0603","1595.016","90.000","0","Resistor SMD 0603"
"R11","10R","TopLayer","RES_0402","2238.000","400.000","0","Resistor SMD 0402"
"R10","10R","BottomLayer","RES_0402","2237.000","480.000","0","Resistor SMD 0402"
"R9","10R","TopLayer","RES_0402","2239.000","760.000","0","Resistor SMD 0402"
"R8","10R","BottomLayer","RES_0402","2238.000","838.000","0","Resistor SMD 0402"
"R7","10k","TopLayer","RES_0402","1374.000","1024.000","90","Resistor SMD 0402"
"R6","100k","BottomLayer","RES_0603","1595.000","250.000","0","Resistor SMD 0603"
"R5","10R","TopLayer","RES_0402","2241.000","1139.000","0","Resistor SMD 0402"
"R4","10R","BottomLayer","RES_0402","2242.000","1219.000","0","Resistor SMD 0402"
"R3","10k","TopLayer","RES_0402","1289.000","291.000","0","Resistor SMD 0402"
"R2","10k","TopLayer","RES_0402","1289.000","217.000","0","Resistor SMD 0402"
"R1","10k","TopLayer","RES_0402","1289.000","365.000","0","Resistor SMD 0402"
"Q6","AOD4184A","TopLayer","FP-TO252-MFG","2507.079","311.000","270","MOSFET N-CH 40V 50A TO252"
"Q5","AOD4184A","BottomLayer","FP-TO252-MFG","2582.079","311.000","270","MOSFET N-CH 40V 50A TO252"
"Q4","AOD4184A","TopLayer","FP-TO252-MFG","2506.921","669.000","270","MOSFET N-CH 40V 50A TO252"
"Q3","AOD4184A","BottomLayer","FP-TO252-MFG","2581.079","670.000","270","MOSFET N-CH 40V 50A TO252"
"Q2","AOD4184A","TopLayer","FP-TO252-MFG","2502.921","1048.000","270","MOSFET N-CH 40V 50A TO252"
"Q1","AOD4184A","BottomLayer","FP-TO252-MFG","2576.901","1049.000","270","MOSFET N-CH 40V 50A TO252"
"P1","SM06B-SRSS-TB(LF)(SN)","TopLayer","JST-SM06B-SRSS-TB_V","1602.000","1154.823","180","Male Header, Pitch 1 mm, 1 x 6 Position, Height 2.95 mm, -25 to 85 degC, RoHS, Tape and Reel"
"L1","4.7uH Inductor","TopLayer","SMD_8x8_Inductor","564.000","868.998","90","5.9A 4.7uH 5.9A 24mO Magnetic Shielded Inductor ±20% SMD,8x8mm Fixed Inductors RoHS"
"IC2","STM32G431CBT6","TopLayer","QFP50P900X900X160-48N","1401.000","771.000","0","Integrated Circuit"
"IC1","DRV8300DPWR","TopLayer","SOP65P640X120-20N","1861.000","699.000","0","Integrated Circuit"
"FB1","MPZ2012S601ATD25","TopLayer","BEADC2112X105N","1481.000","416.000","0","Ferrite Beads 600 @ 100MHz 0805"
"D1","SMBJ16A","TopLayer","FP-DO-214AA-MFG","283.000","646.000","90","TVS DIODE 16VWM 26VC SMBJ"
"C25","1nF","TopLayer","CAP_0402","1137.000","646.000","0","Capacitor SMD 0402"
"C24","22uF","TopLayer","CAP_0402","767.000","687.998","90","Capacitor SMD 0402"
"C23","22uF","TopLayer","CAP_0402","822.000","686.998","90","Capacitor SMD 0402"
"C22","10uF","TopLayer","CAP_1206","791.000","529.998","270","Capacitor SMD 1206"
"C21","100nF","TopLayer","CAP_0402","563.000","565.998","270","Capacitor SMD 0402"
"C20","1nF","BottomLayer","CAP_0402","1241.000","657.000","180","Capacitor SMD 0402"
"C19","1nF","TopLayer","CAP_0402","1149.785","744.000","0","Capacitor SMD 0402"
"C18","1nF","TopLayer","CAP_0402","1216.000","537.502","0","Capacitor SMD 0402"
"C17","1nF","TopLayer","CAP_0402","1314.000","506.000","180","Capacitor SMD 0402"
"C16","100nF","TopLayer","CAP_0402","1642.000","641.000","90","Capacitor SMD 0402"
"C15","100nF","TopLayer","CAP_0402","1541.000","486.000","180","Capacitor SMD 0402"
"C14","1uF","TopLayer","CAP_0402","1416.000","486.000","0","Capacitor SMD 0402"
"C13","100nF","TopLayer","CAP_0402","1416.000","536.000","180","Capacitor SMD 0402"
"C12","100nF","BottomLayer","CAP_0402","1241.000","781.685","90","Capacitor SMD 0402"
"C11","4.7uF","TopLayer","CAP_0402","1301.000","1056.000","0","Capacitor SMD 0402"
"C10","100nF","TopLayer","CAP_0402","1301.000","1006.000","0","Capacitor SMD 0402"
"C9","100nF","TopLayer","CAP_0402","1501.000","536.000","180","Capacitor SMD 0402"
"C8","100nF","TopLayer","CAP_0402","1149.785","900.000","180","Capacitor SMD 0402"
"C7","100nF","TopLayer","CAP_0402","1635.000","881.000","270","Capacitor SMD 0402"
"C6","10uF","BottomLayer","CAP_1206","1749.000","659.976","90","Capacitor SMD 1206"
"C5","100nF","TopLayer","CAP_0402","2084.000","631.000","90","Capacitor SMD 0402"
"C4","100nF","TopLayer","CAP_0402","2084.000","712.002","90","Capacitor SMD 0402"
"C3","12pF","TopLayer","CAP_0402","1003.000","715.754","180","Capacitor SMD 0402"
"C2","12pF","TopLayer","CAP_0402","1167.502","833.000","90","Capacitor SMD 0402"
"C1","100nF","TopLayer","CAP_0402","2084.000","793.004","90","Capacitor SMD 0402"
